dataset,n,percent
PT020_HCP_Wu_Minn,308,44.57308248914617
PT030_OpenNeuro/ds005752,69,9.985528219971057
PT030_OpenNeuro/ds005237,29,4.196816208393632
PT030_OpenNeuro/ds003701,29,4.196816208393632
PT030_OpenNeuro/ds003242,26,3.7626628075253254
PT030_OpenNeuro/ds003499,21,3.0390738060781475
PT030_OpenNeuro/ds003745,18,2.6049204052098407
PT030_OpenNeuro/ds004556,18,2.6049204052098407
PT030_OpenNeuro/ds003798,17,2.460202604920405
PT030_OpenNeuro/ds002345,14,2.0260492040520983
PT030_OpenNeuro/ds005551,14,2.0260492040520983
PT033_WAND,13,1.8813314037626627
PT030_OpenNeuro/ds004456,11,1.5918958031837915
PT030_OpenNeuro/ds003653,10,1.447178002894356
PT030_OpenNeuro/ds004597,10,1.447178002894356
PT030_OpenNeuro/ds004692,9,1.3024602026049203
PT030_OpenNeuro/ds004712,7,1.0130246020260492
PT030_OpenNeuro/ds001740,7,1.0130246020260492
PT030_OpenNeuro/ds004958,7,1.0130246020260492
PT030_OpenNeuro/ds005874,7,1.0130246020260492
PT030_OpenNeuro/ds005088,5,0.723589001447178
PT030_OpenNeuro/ds004466,5,0.723589001447178
PT030_OpenNeuro/ds004158,5,0.723589001447178
PT030_OpenNeuro/ds004467,4,0.5788712011577424
PT030_OpenNeuro/ds004078,3,0.4341534008683068
PT030_OpenNeuro/ds004798,3,0.4341534008683068
PT030_OpenNeuro/ds004056,3,0.4341534008683068
PT030_OpenNeuro/ds003814,3,0.4341534008683068
PT030_OpenNeuro/ds004557,3,0.4341534008683068
PT030_OpenNeuro/ds005664,3,0.4341534008683068
PT030_OpenNeuro/ds003787,2,0.2894356005788712
PT030_OpenNeuro/ds004443,2,0.2894356005788712
PT030_OpenNeuro/ds000256,2,0.2894356005788712
PT030_OpenNeuro/ds003465,1,0.1447178002894356
PT030_OpenNeuro/ds002702,1,0.1447178002894356
PT030_OpenNeuro/ds006131,1,0.1447178002894356
PT030_OpenNeuro/ds004192,1,0.1447178002894356
